ඔබ භින්නෝන්මාදයෙන් පෙළෙනවා,ඔයාට පිස්සු
ඔබ කාර්යබහුලයි,ඒ බව.
ඔබ කලබලයි,මට විශ්වාසයි මම කලබල වෙලා වගේ.
ඔබ විකෘති වී ඇත,විකෘති වීම මට අත්විඳිය හැකි තත්වයක් නොවේ.
ඔබ මග හරිනවා,ඔයා හරි. නරක රාත්‍රියකට පසු එය මගේ බඩ මෙන් දැනේ.
ඔබ විවේචනාත්මක ය,මම සමහර විට මට ඕනෑවට වඩා අනිත් අයව පහත් කරනවා.
ඔබ නපුරු ය,සමහර වෙලාවට මම නරක දේවල් කියනවා.
ඔබ මවාපෑමයි,මම හැමවිටම ක්‍රියා කළේ මගේ සමාජ තත්ත්වයට ඉහළින්. එය වඩාත් විනෝදජනකයි.
ඔබ වංචා කරනවා,ඔබ වංචාකාරයෙක්
ඔබ වංචා කරනවා,ඔබ වංචා කරනවා
ඔබ තමයි නරකම,පැකේජයට සාපේක්ෂව මට සැමවිටම මාව වැඩිදියුණු කළ හැකිය.
ඔයාට පිස්සු,ඔව්. මම හැම විටම සමාජය පිළිගත නොහැකි ආකාරයෙන් හැසිරෙනවා.
ඔබ අඳුරු ය,මට වෙලාවකට එහෙම හිතෙනවා.
ඔබ අවුල්,"ඔව්, මට වඩා හොඳ පෙනුමක් භාවිතා කළ හැකිය."
ඔබ බලාපොරොත්තු රහිත ය,ඔබ නිවැරදි විය හැක.
ඔබ අවංක නැත,මම විය යුතු තරම් අවංක නැත.
ඔබ මෙහි නැත,ඔයා හරි. මම අලුත් දෙයක් ඉගෙන ගන්න සටන් කරනවා ඇති.
ඔබ එකට එකතු වී නැත,මම හැමදාම හිතුවේ කවුරු කළත් මීට වඩා හොඳ වැඩක් කරන්න තිබුණා කියලා.
ඔබ බුද්ධිමත් නොවේ,ඔබ හරියටම ඇල්බට් අයින්ස්ටයින් නොවේ. ඔබ නිවැරදි විය හැක.
ඔබ හොඳ කෙනෙක් නොවේ,ඔබ නරක කෙනෙක්
ඔබ මිනිසෙකු නොවේ,ඒක ස්ථිරයි. සැබෑ මිනිසෙක් යනු කුමක්දැයි මම නොදනිමි.
ඔබ සැලකිලිමත් නොවේ,මම එය බොහෝ දේ කරන බව මට විශ්වාසයි.
ඔබ අවංක නැත,ඔයා මාව එතනට ගත්තා. මම වඩාත් අවංක විය යුතුයි.
ඔබ නොමේරූ ය,මට කුමක් කිව හැකිද? මම එය මා විසින්ම දැක ඇති බව මට විශ්වාසයි.
ඔබ නොමේරූ ය,ඔබ නොමේරූ ය
ඔබ හැඟීම්බරයි,මම අනිවාර්යයෙන්ම සමහර වෙලාවට කරනවා.
ඔබ පණ්ඩිත ය,මම විය යුතු ප්‍රමාණයට වඩා උස්ව සිටිමි.
ඔබ උමතුයි,ඒ බව.
ඔබ ස්වයං අවශෝෂණය කර ඇත,"ඔව්, මම මා ගැන ඕනෑවට වඩා සිතීමට නැඹුරු වෙමි."
ඔබ ස්වයං,ඔබ ඒ ගැන හරි. මම ස්වයං.
ඔබ සංවේදී නොවේ,මටම සමහර වෙලාවට එහෙම හිතෙනවා.
ඔබ මොළයට හානි වේ,ඔයාට පිස්සු
ඔබ පිළිකුල් වේ,ඒක කමක් නෑ. පිළිකුල් කිරීම හොඳයි.
ඔබ සෙල්ලම් කරනවා,එය එසේ විය යුතුය.
ඔබ ආකර්ශනීය නොවේ,මටත් එහෙම හිතෙනවා.
ඔබ ආකර්ශනීය නොවේ,සමහර වෙලාවට මම මට කැමති නැහැ.
ඔබ ප්රතිරෝධී වේ,කවුද කියන්නේ මම විරුද්ධයි කියලා ??
ඔබ අසංස්කෘතික ය,එය මාව විස්තර කරයි.
ඔබ නාස්තියකි,ඔයා මාව එතනට ගත්තා. මට මගේ කාලය වඩාත් ඵලදායී ලෙස ගත කළ හැකිය.
ඔබ බියගුල්ලෙක්,මම නොදන්නා දෙයක් මට කියන්න.
ඔබ වංචාකාරයෙක්,මම ඉඳහිට කෙටිමං ගන්නා බව දන්නා කරුණකි.
ඔබ පිස්සෙක්,මා අන් අය විසින් ද හඳුනාගෙන ඇත්තේ එලෙස ය.
ඔබ පරාජිතයෙක්,මම උත්සාහ කළ බොහෝ දේ අසාර්ථක වී ඇත.
ඔබ නරක සහකරුවෙක්,මගේ සහකරු හෝ සහකාරිය එකඟ වනු ඇත. අපගේ සම්බන්ධතාවය හොඳම නොවේ.
ඔබ නරක මිතුරෙකි,වසර ගණනාවක් පුරා මට බොහෝ මිතුරන් අහිමි වී ඇත.
ඔබ නරක ස්වාමිපුරුෂයෙක්,ඔබ නරක සහකරුවෙක්
ඔබ නරක බිරිඳක්,ඔබ නරක සහකරුවෙක්
ඔබ නරක දෙමාපියෙක්,මගේ දෙමාපිය කුසලතා යම් දියුණුවක් භාවිතා කළ හැකිය.
ඔබ නරක ගුරුවරයෙක්,"මගේ සිසුන්ගෙන් විමසන්න, ඔවුන් ඔබ සමඟ එකඟ වනු ඇත."
ඔබ අත්හරින්නෙක්,මම අනිවාර්යයෙන්ම මට අවශ්‍ය තාක් කල් පවතින්නේ නැහැ.
ඔබ චාලටන් කෙනෙක්,මට නිතරම හැඟෙන්නේ මම මගේම බුද්ධියෙන් ජීවත් වන බවයි.
ඔබ මානසික රෝගියෙක්,මම අනිවාර්යයෙන්ම සමහර වෙලාවට එක වගේ ඇහෙනවා.
ඔබ පොහොට්ටුවක්,ඔබ ඇබ්බැහි වූවෙකි
ඔබ ව්‍යාකූලයෙක්,ඔබ ව්‍යාකූලයෙක්
ඔබ රැවටිලිකාර ය,ඔබ බොරුකාරයෙක්
ඔබ අගෞරවනීය ය,මම අනිවාර්යයෙන්ම. මම එතරම් උත්සාහ නොකළ යුතුයි.
ඔබ කපටි ය,මම බොහෝ විට මගේම යහපත සඳහා දක්‍ෂයි.
ඔබ දූෂිත ය,මම ඒකට යන්නම්.
ඔබ අපිරිසිදු ය,මම අවශ්‍ය වෙලාවට නාන්නේ නැහැ.
ඔබ ව්‍යාකූල වේ,"ඔව්, මම විශ්වාස කරනවා ඔවුන් මාව ලබාගන්නයි කියලා."
ඔබට හානි වී ඇත,මම අනිවාර්යයෙන්ම. මම එතරම් උත්සාහ නොකළ යුතුයි.
ඔබ එය සැඟවීමට උත්සාහ කරයි,මම අනිවාර්යයෙන්ම එවැනි දෙයක් සැඟවීමට උත්සාහ කරමි.
ඔයා මාත් එක්ක තරහා වෙනවා,මම හිතන්නේ ඒක ඇත්ත. මාව කුපිත කරන සෑම කුඩා දෙයකටම මම ඔබ සමඟ අමනාප නොවීමට උත්සාහ කරමි.
ඔබට මනෝ වෛද්‍යවරයකු අවශ්‍යයි,මම නිතර උපදේශනයට ගියා නම් හොඳයි. එය පුද්ගලයෙකු ලෙස මා වැඩිදියුණු කරනු ඇත.
ඔබ වෙහෙස මහන්සි වී වැඩ කිරීමට අවශ්යයි,මම වෙහෙස මහන්සි වී වැඩ කිරීම ඔක්සිමොරොන් වේ.
ඔබට වළක්වා ගත හැකිව තිබුණි,සමහර වෙලාවට මම හිතන්නේ මගේ ප්‍රශ්න මාව දුවනවා.
ඔයා මට මම වගේ දැනෙනවා,ඔබ වෙත යාමට වෙනත් මාර්ගයක් මම නොදනිමි.
ඔබ මාව පිස්සු වට්ටනවා,මම කියන ගොඩක් දේවල් මිනිස්සුන්ගේ හිත රිදෙන එක ඇත්ත.
ඔබ මට තරහ කරන්න,"සමාවෙන්න, මම ඔබව අමනාප කිරීමට අදහස් කළේ නැත."
ඔබ මනෝවිද්යාඥයා,ඔයාට පිස්සු.
ඔබ වඩාත් සමානයි,ඉතින් ඔබ ජෝක් වලට කැමතිද?
ඔබ මෙය බැරෑරුම් ලෙස සලකන්නේ නැත,මම මෙය මට වඩා බැරෑරුම් ලෙස ගත යුතුය.
ඔබ ගන්න,"ඔබ හරි, මට වරදකාරී හැඟීමක් නැහැ."
ඔබට වරදකාරි හැඟීමක් ඇති විය යුතුය,"ඔබ හරි, මට වරදකාරී හැඟීමක් ඇති විය හැක."
ඔබ වැඩිපුර ලබා ගත යුතුය,මම අනිවාර්යයෙන්ම. මම එතරම් උත්සාහ නොකළ යුතුයි.
ඔබ ලිහිල් කළ යුතුය,ඔබ පණ්ඩිත ය
ඔබ වැඩිපුර ගත යුතුය,මට බොහෝ විට එය තවත් බොහෝ දේ භාවිතා කළ හැකිය.
ඔබ මුමුණන්න,මම අනිවාර්යයෙන්ම කරනවා.
ඔබ කුඩා දරුවෙකු මෙන් ක්රියා කරයි,බොහෝ ආකාරවලින් මම තරමක් නොමේරූ ය.
ඔබ දිගටම කියනවා,ඔබ කියන්නෙ
ඔබ දිගටම අමතක කරනවා,ඔබට අමතකයි.
ඔබ මාව පිස්සු වැට්ටුවා,ඔබ මාව පිස්සු වට්ටනවා.
